#id;startDate;endDate;numberContract;idClient;surname;firstName;patronymic;dateOfBirth;gender;seriesPassport;numberPassport;type;addInfo
1;23.10.2020;23.10.2021;234364651;1;Иванов;Иван;Иванович;12.02.1986;MALE;2013;892314;TV;PLUS
2;26.10.2020;26.10.2021;123844533;2;Петров;Пётр;Петрович;27.04.1975;MALE;2012;853242;Internet;500
3;14.02.2020;14.02.2021;562364324;3;Степанова;Мария;Степановна;01.07.1991;FEMALE;2013;832424;Cellular;1000,50,100
4;16.12.2020;16.12.2020;384539934;4;Сидорова;Светлана;Ивановна;19.05.1982;FEMALE;2014;835621;TV;DEFAULT
5;16.12.2020;16.12.2020;384539934;4;Сидорова;Светлана;Ивановна;19.05.1982;FEMALE;2014;835621;Internet;200
6;16.12.2020;16.12.2020;384539934;4;Сидорова;Светлана;Ивановна;19.05.1982;FEMALE;2014;835621;Cellular;1500,100,500
7;26.10.2020;26.10.2021;123844533;2;Петров;Пётр;Петрович;27.04.1975;LE;2012;853242;TV;PLUSPLUS
8;23.10.2020;23.10.2021;234364651;1;Иванов;Иван;Иванович;12.02.1986;MALE;2013;892314;TV;PLUS
9;23.10.2020;23.10.2021;234364651;5;Иванов;Иван;Петрович;12.02.1986;MALE;2014;892314;TV;PLUSPLUS
10;23.10.2020;23.10.2021;234364651;6;Иванов;Пётр;Иванович;12.02.1986;MALE;2014;876321;TV;DEFAULT
